ชื่ออำเภอ (ภาษาอังกฤษ),ชื่ออำเภอ (ภาษาไทย) ,รหัสอำเภอ
Phak Hai,ผักไห่,14080000
Phakdi Chumphon,ภักดีชุมพล,36140000
Phan,พาน,57050000
Phan Thong,พานทอง,20050000
Phana,พนา,37040000
Phanat Nikhom,พนัสนิคม,20060000
Phanh khon,พังโคน,47050000
Phanna Nikhom,พรรณานิคม,47040000
Phanom,พนม,84100000
Phanom Dong Rak,พนมดงรัก,32140000
Phanom Phrai,พนมไพร,45060000
Phanom Sarakham,พนมสารคาม,24060000
Phanom Thuan,พนมทวน,71090000
Phasi Charoen,เขตภาษีเจริญ,10220000
Phato,พะโต๊ะ,86060000
Phatthana Nikhom,พัฒนานิคม,16020000
Phaya Mengrai,พญาเม็งราย,57120000
Phaya Thai,เขตพญาไท,10140000
Phayakkhaphum Phisai,พยัคฆภูมิพิสัย,44080000
Phayu,พยุห์,33200000
Phayuha Hkiri,พยุหะคีรี,60100000
Phen,เพ็ญ,41190000
Phibun Mangsahan,พิบูลมังสาหาร,34190000
Phibun Rak,พิบูลย์รักษ์,41230000
Phichai,พิชัย,53070000
Phimai,พิมาย,30150000
Phipun,พิปูน,80050000
Phlapphla Chai,พลับพลาชัย,31150000
Pho Chai,โพธิ์ชัย,45080000
Pho Prathap Chang,โพธิ์ประทับช้าง,66030000
Pho Sai,โพธิ์ไทร,34210000
Pho Si Suwan,โพธิ์ศรีสุวรรณ,33210000
Pho Tak,โพธิ์ตาก,43170000
Pho Thale,โพทะเล,66060000
Pho Thong,โพธิ์ทอง,15040000
Phon,พล,40120000
Phon Charoen,พรเจริญ,38020000
Phon Na Kaeo,โพนนาแก้ว,47170000
Phon Phisai,โพนพิสัย,43050000
Phon Sai,โพนทราย,45130000
Phon Sawan,โพนสวรรค์,48100000
Phon Thong,โพนทอง,45070000
Phop Phra,พบพระ,63070000
Photharam,โพธาราม,70070000
Phra Khanong,เขตพระโขนง,10090000
Phra Nakhon,เขตพระนคร,10010000
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,14010000
Phra Phrom,พระพรหม,80200000
Phra Phutthabat,พระพุทธบาท,19090000
Phra Pradaeng,พระประแดง,11040000
Phra Samut Chedi,พระสมุทรเจดีย์,11050000
Phra Thong Kham,พระทองคำ,30280000
Phra Yuen,พระยืน,40030000
Phrai Bueng,ไพรบึง,33060000
Phran Kratai,พรานกระต่าย,62060000
Phrao,พร้าว,50110000
Phrasaeng,พระแสง,84160000
Phrom Buri,พรหมบุรี,17040000
Phrom Khiri,พรหมคีรี,80020000
Phrom Phiram,พรหมพิราม,65060000
Phu Khiao,ภูเขียว,36100000
Phu Kradueng,ภูกระดึง,42100000
Phu Luang,ภูหลวง,42110000
Phu Phaman,ภูผาม่าน,40200000
Phu Phan,ภูพาน,47180000
Phu Phiang,ภูเพียง,55140000
Phu Ruea,ภูเรือ,42070000
Phu Sing,ภูสิงห์,33170000
Phu Wiang,ภูเวียง,40160000
Phunphin,พุนพิน,84170000
Phutthaisong,พุทไธสง,31090000
Phutthamonthon,พุทธมณฑล,73070000
Pla Pak,ปลาปาก,48020000
Plai Phraya,ปลายพระยา,81060000
Pleang Yao,แปลงยาว,24090000
Pluak Daeng,ปลวกแดง,21060000
Pom Prap Sattruphai,เขตป้อมปราบศัตรูพ่าย,10080000
Akat Amnuai,อากาศอำนวย,47110000
Amphawa,อัมพวา,75030000
Ao Luek,อ่าวลึก,81050000
Aranyaprathet,อรัญประเทศ,27060000
At Samat,อาจสามารถ,45140000
Bamnet Narong,บำเหน็จณรงค์,36070000
Ban Bueng,บ้านบึง,20020000
Ban Chang,บ้านฉาง,21020000
Ban Dan,บ้านด่าน,31210000
Ban Dan Lan Hoi,บ้านด่านลานหอย,64020000
Ban Dung,บ้านดุง,41110000
Ban Fang,บ้านฝาง,40020000
Ban Haet,บ้านแฮด,40240000
Ban Hong,บ้านโฮ่ง,51030000
Ban Kha,บ้านคา,70100000
Ban Khai,บ้านค่าย,21050000
Ban Khok,บ้านโคก,53060000
Ban Khwao,บ้านเขว้า,36020000
Ban Kruat,บ้านกรวด,31080000
Ban Laem,บ้านแหลม,76070000
Ban Lat,บ้านลาด,76060000
Ban Luang,บ้านหลวง,55030000
Ban Lueam,บ้านเหลื่อม,30050000
Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,31190000
Ban Mi,บ้านหมี่,16060000
Ban Mo,บ้านหมอ,19060000
Ban Muang,บ้านม่วง,47100000
Ban Na,บ้านนา,26030000
Ban Na Doem,บ้านนาเดิม,84130000
Ban Na San,บ้านนาสาร,84120000
Ban Phaeng,บ้านแพง,48040000
Ban Phaeo,บ้านแพ้ว,74030000
Ban Phai,บ้านไผ่,40100000
Ban Pho,บ้านโพธิ์,24050000
Ban Phraek,บ้านแพรก,14160000
Ban Phue,บ้านผือ,41170000
Ban Pong,บ้านโป่ง,70050000
Ban Rai,บ้านไร่,61060000
Ban Sang,บ้านสร้าง,25060000
Ban Ta Khun,บ้านตาขุน,84090000
Ban Tak,บ้านตาก,63020000
Ban Thaen,บ้านแท่น,36110000
Ban Thi,บ้านธิ,51070000
Bang Ban,บางบาล,14050000
Bang Bo,บางบ่อ,11020000
Bang Bon,เขตบางบอน,10500000
Bang Bua Thong,บางบัวทอง,12040000
Bang Kaeo,บางแก้ว,93090000
Bang Kapi,เขตบางกะปิ,10060000
Bang Khae,เขตบางแค,10400000
Bang Khan,บางขัน,80170000
Bang Khen,เขตบางเขน,10050000
Bang Khla,บางคล้า,24020000
Bang Kho Laem,เขตบางคอแหลม,10310000
Bang Khonthi,บางคนที,75020000
Bang Khun Thian,เขตบางขุนเทียน,10210000
Bang Klam,บางกล่ำ,90140000
Bang Krathum,บางกระทุ่ม,65050000
Bang Kruai,บางกรวย,12020000
Bang Lamung,บางละมุง,20040000
Bang Len,บางเลน,73050000
Bang Mun Nak,บางมูลนาก,66050000
Bang Na,เขตบางนา,10470000
Bang Nam Priao,บางน้ำเปรี้ยว,24030000
Bang Pa-in,บางปะอิน,14060000
Bang Pahan,บางปะหัน,14070000
Bang Pakong,บางปะกง,24040000
Bang Phae,บางแพ,70060000
Bang Phlat,เขตบางพลัด,10250000
Bang Phli,บางพลี,11030000
Bang Pla Ma,บางปลาม้า,72040000
Bang Rachan,บางระจัน,17020000
Bang Rak,เขตบางรัก,10040000
Bang Rakam,บางระกำ,65040000
Bang Sai,บางซ้าย,14130000
Bang Sai,บางไทร,14040000
Bang Sao Thong,บางเสาธง,11060000
Bang Saphan,บางสะพาน,77040000
Bang Saphan Noi,บางสะพานน้อย,77050000
Bang Su,เขตบางซื่อ,10290000
Bang Yai,บางใหญ่,12030000
Bangkok Noi,เขตบางกอกน้อย,10200000
Bangkok Yai,เขตบางกอกใหญ่,10160000
Bannang Sata,บันนังสตา,95030000
Banphot Phisai,บรรพตพิสัย,60050000
Benchalak,เบญจลักษ์,33190000
Betong,เบตง,95020000
Bo Kluea,บ่อเกลือ,55120000
Bo Phloi,บ่อพลอย,71030000
Bo Rai,บ่อไร่,23040000
Bo Thong,บ่อทอง,20100000
Boontharik,บุณฑริก,34100000
Borabue,บรบือ,44060000
Bua Lai,บัวลาย,30300000
Bua Yai,บัวใหญ่,30120000
Buachet,บัวเชด,32130000
Bueng Bun,บึงบูรพ์,33110000
Bueng Kan,เมืองบึงกาฬ,38010000
Bueng Khong Long,บึงโขงหลง,38060000
Bueng Na Rang,บึงนาราง,66100000
Bueng Sam Phan,บึงสามพัน,67080000
Bueng Samakkhi,บึงสามัคคี,62100000
Bung Khla,บุ่งคล้า,38080000
Bung Kum,เขตบึงกุ่ม,10270000
Cha-am,ชะอำ,76040000
Cha-uat,ชะอวด,80070000
Chae Hom,แจ้ห่ม,52060000
Chai Badan,ชัยบาดาล,16040000
Chai Buri,ชัยบุรี,84180000
Chai Buri,วิภาวดี,84190000
Chai Prakan,ไชยปราการ,50210000
Chai Wan,ไชยวาน,41080000
Chaiya,ไชยา,84060000
Chaiyo,ไชโย,15020000
Chakkarat,จักราช,30060000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,31230000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,30320000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,19130000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,80230000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,55150000
Chamni,ชำนิ,31180000
Chana,จะนะ,90030000
Chanae,จะแนะ,96120000
Chang Klang,ช้างกลาง,80220000
Changhan,จังหาร,45170000
Chanuman,ชานุมาน,37020000
Charoen Sin,เจริญศิลป์,47160000
Chat Trakan,ชาติตระการ,65030000
Chatturat,จัตุรัส,36060000
Chatuchak,เขตจตุจักร,10300000
Chaturaphak Phiman,จตุรพักตรพิมาน,45040000
Chawang,ฉวาง,80040000
Chian Yai,เชียรใหญ่,80060000
Chiang Dao,เชียงดาว,50040000
Chiang Khan,เชียงคาน,42030000
Takua Pa,ตะกั่วป่า,82050000
Takua Thung,ตะกั่วทุ่ง,82040000
Taling Chan,เขตตลิ่งชัน,10190000
Tamot,ตะโหมด,93040000
Tan Sum,ตาลสุม,34200000
Tao Ngoi,เต่างอย,47140000
Tap Khlo,ทับคล้อ,66080000
Taphan Hin,ตะพานหิน,66040000
Tha Bo,ท่าบ่อ,43020000
Tha Chana,ท่าชนะ,84070000
Tha Chang,ท่าช้าง,17050000
Tha Chang,ท่าฉาง,84110000
Tha Khantho,ท่าคันโท,46110000
Tha Li,ท่าลี่,42080000
Tha Luang,ท่าหลวง,16070000
Tha Mai,ท่าใหม่,22030000
Tha Maka,ท่ามะกา,71050000
Tha Muang,ท่าม่วง,71060000
Tha Phae,ท่าแพ,91040000
Tha Pla,ท่าปลา,53030000
Tha Ruea,ท่าเรือ,14020000
Tha Sae,ท่าแซะ,86020000
Tha Sala,ท่าศาลา,80080000
Tha Song Yang,ท่าสองยาง,63050000
Tha Takiap,ท่าตะเกียบ,24100000
Tha Tako,ท่าตะโก,60080000
Tha Tum,ท่าตูม,32030000
Tha Uthen,ท่าอุเทน,48030000
Tha Wang Pha,ท่าวังผา,55060000
Tha Wung,ท่าวุ้ง,16050000
Tha Yang,ท่ายาง,76050000
Thai Charoen,ไทยเจริญ,35090000
Thai Mueang,ท้ายเหมือง,82080000
Thalang,ถลาง,83030000
Tham Phannara,ถ้ำพรรณรา,80180000
Than To,ธารโต,95040000
Thanyaburi,ธัญบุรี,13030000
Thap Put,ทับปุด,82070000
Thap Sakae,ทับสะแก,77030000
Thap Than,ทัพทัน,61020000
That Phanom,ธาตุพนม,48050000
Thawat Buri,ธวัชบุรี,45050000
Thawi Watthana,เขตทวีวัฒนา,10480000
Thep Sathit,เทพสถิต,36090000
Thepha,เทพา,90050000
Thepharak,เทพารักษ์,30260000
Thoen,เถิน,52080000
Thoeng,เทิง,57040000
Thon Buri,เขตธนบุรี,10150000
Thong Pha Phum,ทองผาภูมิ,71070000
Thong Saen Khan,ทองแสนขัน,53090000
Thung  Wa,ทุ่งหว้า,91060000
Thung Chang,ทุ่งช้าง,55080000
Thung Fon,ทุ่งฝน,41070000
Thung Hua Chang,ทุ่งหัวช้าง,51050000
Thung Khao Luang,ทุ่งเขาหลวง,45200000
Thung Khu,เขตทุ่งครุ,10490000
Thung Saliam,ทุ่งเสลี่ยม,64090000
Thung Si Udom,ทุ่งศรีอุดม,34260000
Thung Song,ทุ่งสง,80090000
Thung Tako,ทุ่งตะโก,86080000
Thung Yai,ทุ่งใหญ่,80110000
Thung Yang Daeng,ทุ่งยางแดง,94060000
Trakan Phuet Phon,ตระการพืชผล,34110000
Tron,ตรอน,53020000
U Thong,อู่ทอง,72090000
Ubolratana,อุบลรัตน์,40080000
Um Phang,อุ้มผาง,63080000
Uthai,อุทัย,14140000
Uthumphon Phisai,อุทุมพรพิสัย,33100000
Wachirabarami,วชิรบารมี,66120000
Waeng,แว้ง,96080000
Waeng Noi,แวงน้อย,40140000
Waeng Yai,แวงใหญ่,40130000
Wan Yai,หว้านใหญ่,49060000
Wang Chan,วังจันทร์,21040000
Wang Chao,วังเจ้า,63090000
Wang Chin,วังชิ้น,54070000
Wang Hin,วังหิน,33160000
Wang Muang,วังม่วง,19120000
Wang Nam Khiao,วังน้ำเขียว,30250000
Wang Nam Yen,วังน้ำเย็น,27040000
Wang Noi,วังน้อย,14110000
Wang Nuea,วังเหนือ,52070000
Wang Pong,วังโป่ง,67100000
Wang Sai Phun,วังทรายพูน,66020000
Wang Sam Mo,วังสามหมอ,41100000
Wang Saphung,วังสะพุง,42090000
Wang Sombun,วังสมบูรณ์,27090000
Wang Thong,วังทอง,65080000
Wang Thong Lang,เขตวังทองหลาง,10450000
Wang Wiset,วังวิเศษ,92070000
Wang Yang,วังยาง,48120000
Wanon Niwat,วานรนิวาส,47080000
Wapi Pathum,วาปีปทุม,44090000
Warin Chamrap,วารินชำราบ,34150000
Waritchaphum,วาริชภูมิ,47060000
Wat Bot,วัดโบสถ์,65070000
Wat Phleng,วัดเพลง,70090000
Wat Sing,วัดสิงห์,18030000
Watthana,เขตวัฒนา,10390000
Watthana Nakhon,วัฒนานคร,27050000
Wiang Chai,เวียงชัย,57020000
Wiang Chiang Rung,เวียงเชียงรุ้ง,57170000
Wiang Haeng,เวียงแหง,50200000
Wiang Kaen,เวียงแก่น,57130000
Wiang Nong Long,เวียงหนองล่อง,51080000
Wiang Pa Pao,เวียงป่าเป้า,57110000
Wiang Sa,เวียงสา,55070000
Wiang Sa,เวียงสระ,84150000
Wichian Buri,วิเชียรบุรี,67050000
Wihan Daeng,วิหารแดง,19040000
Wiset Chai Chan,วิเศษชัยชาญ,15060000
Yaha,ยะหา,95050000
Yan Ta Khao,ย่านตาขาว,92030000
Yang Chum Noi,ยางชุมน้อย,33020000
Yang Sisurat,ยางสีสุราช,44110000
Yang Talat,ยางตลาด,46070000
Yannawa,เขตยานนาวา,10120000
Yarang,ยะรัง,94100000
Yaring,ยะหริ่ง,94090000
Yi-ngo,ยี่งอ,96040000
khlong Luang,คลองหลวง,13020000
mueang Nakhon Pathom,เมืองนครปฐม,73010000
,เวียงเก่า,40290000
Pong Nam Ron,โป่งน้ำร้อน,22040000
Prachaksinlapakhom,ประจักษ์ศิลปาคม,41250000
Prachantakham,ประจันตคาม,25070000
Prakhon Chai,ประโคนชัย,31070000
Pran Buri,ปราณบุรี,77060000
Prang Ku,ปรางค์กู่,33070000
Prasat,ปราสาท,32050000
Prathai,ประทาย,30130000
Prawet,เขตประเวศ,10320000
Pua,ปัว,55050000
Pueai Noi,เปือยน้อย,40110000
Ra-ngae,ระแงะ,96050000
Raman,รามัน,95060000
Ranot,ระโนด,90070000
Rasi Salai,ราษีไศล,33090000
Rat Burana,เขตราษฎร์บูรณะ,10240000
Rat Thewi,เขตราชเทวี,10370000
Ratchasan,ราชสาส์น,24070000
Ratsada,รัษฎา,92090000
Rattanaburi,รัตนบุรี,32070000
Rattanawapi,รัตนวาปี,43160000
Rattaphum,รัตภูมิ,90090000
Renu Nakhon,เรณูนคร,48060000
Ron Phibun,ร่อนพิบูลย์,80130000
Rong Kham,ร่องคำ,46040000
Rueso,รือเสาะ,96060000
Sa Bot,สระโบสถ์,16080000
Sa Thon,เขตสาทร,10280000
Saba Yoi,สะบ้าย้อย,90060000
Sadao,สะเดา,90100000
Sahatsakhan,สหัสขันธ์,46090000
Sai Buri,สายบุรี,94070000
Sai Mai,เขตสายไหม,10420000
Sai Mun,ทรายมูล,35020000
Sai Ngam,ไทรงาม,62020000
Sai Noi,ไทรน้อย,12050000
Sai Thong Watthana,ทรายทองวัฒนา,62080000
Sai Yok,ไทรโยค,71020000
Sak Lek,สากเหล็ก,66090000
Sakhrai,สระใคร,43140000
Sam Chai,สามชัย,46150000
Sam Chuk,สามชุก,72080000
Sam Khok,สามโคก,13070000
Sam Ngam,สามง่าม,66070000
Sam Ngao,สามเงา,63030000
Sam Phran,สามพราน,73060000
Sam Roi Yot,สามร้อยยอด,77080000
Sam Sung,ซำสูง,40210000
Samko,สามโก้,15070000
Samoeng,สะเมิง,50080000
Samphanthawong,เขตสัมพันธวงศ์,10130000
Samrong,สำโรง,34220000
Samrong Thap,สำโรงทาบ,32120000
San Kamphaeng,สันกำแพง,50130000
San Pa Tong,สันป่าตอง,50120000
San Sai,สันทราย,50140000
Sanam Chai Khet,สนามชัยเขต,24080000
Sang Khom,สร้างคอม,41200000
Sangkha,สังขะ,32100000
Sangkhla Buri,สังขละบุรี,71080000
Sangkhom,สังคม,43080000
Sankhaburi,สรรคบุรี,18050000
Sanom,สนม,32080000
Santi Suk,สันติสุข,55110000
Sao Hai,เสาไห้,19100000
Sap Yai,ซับใหญ่,36160000
Saphan Sung,เขตสะพานสูง,10440000
Sapphaya,สรรพยา,18040000
Saraphi,สารภี,50190000
Sathing Phra,สทิงพระ,90020000
Sattahip,สัตหีบ,20090000
Satuek,สตึก,31110000
Sawaeng Ha,แสวงหา,15050000
Sawang Arom,สว่างอารมณ์,61030000
Sawang Daen Din,สว่างแดนดิน,47120000
Sawang Wirawong,สว่างวีระวงศ์,34320000
Sawankhalok,สวรรคโลก,64070000
Sawi,สวี,86070000
Seka,เซกา,38040000
Selaphum,เสลภูมิ,45100000
Sena,เสนา,14120000
Senangkhanikhom,เสนางคนิคม,37050000
Si Banphot,ศรีบรรพต,93070000
Si Bun Rueang,ศรีบุญเรือง,39040000
Si Chiang Mai,ศรีเชียงใหม่,43070000
Si Chomphu,สีชมพู,40060000
Si Khio,สีคิ้ว,30200000
Si Maha Phot,ศรีมหาโพธิ,25080000
Si Mahosot,ศรีมโหสถ,25090000
Si Mueang Mai,ศรีเมืองใหม่,34020000
Si Nakhon,ศรีนคร,64080000
Si Narong,ศรีณรงค์,32150000
Si Prachan,ศรีประจันต์,72050000
Si Racha,ศรีราชา,20070000
Si Rattana,ศรีรัตนะ,33140000
Si Sakhon,ศรีสาคร,96070000
Si Samrong,ศรีสำโรง,64060000
Si Satchanalai,ศรีสัชนาลัย,64050000
Si Sawat,ศรีสวัสดิ์,71040000
Si Somdet,ศรีสมเด็จ,45160000
Si Songkhram,ศรีสงคราม,48080000
Si That,ศรีธาตุ,41090000
Si Thep,ศรีเทพ,67060000
Si Wilai,ศรีวิไล,38070000
Sichon,สิชล,80140000
Sida,สีดา,30310000
Sikao,สิเกา,92050000
Sikhoraphum,ศีขรภูมิ,32090000
Sila Lat,ศิลาลาด,33220000
Singhanakhon,สิงหนคร,90150000
Sirindhorn,สิรินธร,34250000
So Phisai,โซ่พิสัย,38030000
Soem Ngam,เสริมงาม,52040000
Soeng Sang,เสิงสาง,30030000
Soi Dao,สอยดาว,22070000
Somdet,สมเด็จ,46130000
Song,สอง,54060000
Song Dao,ส่องดาว,47130000
Song Khwae,สองแคว,55130000
Song Phi Nong,สองพี่น้อง,72070000
Sop Moei,สบเมย,58060000
Sop Prap,สบปราบ,52110000
Srinagarindra,ศรีนครินทร์,93110000
Su-ngai Kolok,สุไหงโก-ลก,96100000
Su-ngai Padi,สุไหงปาดี,96110000
Suan Luang,เขตสวนหลวง,10340000
Suan Phueng,สวนผึ้ง,70030000
Suk Samran,สุขสำราญ,85050000
Sukhirin,สุคิริน,96090000
Sung Men,สูงเม่น,54040000
Sung Noen,สูงเนิน,30180000
Suwannakhuha,สุวรรณคูหา,39050000
Suwannaphum,สุวรรณภูมิ,45110000
Ta Phraya,ตาพระยา,27030000
Tak Bai,บาเจาะ,96030000
Tak Bai,ตากใบ,96020000
Tak Fa,ตากฟ้า,60120000
Takhli,ตาคลี,60070000
